project_id,project_name,start_date,end_date,budget,actual_spend,team_size,risk_score,status,success
69,Project 69,2021-03-16,2022-01-20,54690.99,51857.39,12,0.84,Cancelled,0
70,Project 70,2023-09-14,2024-05-23,252265.95,250704.22,3,0.4,On Track,1
71,Project 71,2023-02-12,2023-05-06,38203.79,40010.9,14,0.77,At Risk,0
72,Project 72,2021-07-18,2021-10-13,279269.15,264625.8,12,0.42,Completed,1
73,Project 73,2021-01-06,2021-12-24,226349.95,222957.84,11,0.35,At Risk,0
74,Project 74,2023-03-27,2023-10-16,444975.05,489022.41,8,0.96,Delayed,0
75,Project 75,2022-12-08,2023-10-13,181948.36,148228.47,5,0.18,Cancelled,0
76,Project 76,2022-12-31,2023-05-23,67362.84,60692.22,10,0.09,Completed,1
77,Project 77,2023-02-11,2023-12-25,80065.92,86898.73,11,0.77,Cancelled,0
78,Project 78,2021-03-16,2021-09-12,383140.21,443708.06,8,0.07,Delayed,0
79,Project 79,2021-12-25,2022-05-30,312926.85,314388.52,13,0.84,Cancelled,0
80,Project 80,2021-04-26,2021-10-27,59550.11,60315.05,9,0.44,Delayed,0
81,Project 81,2023-05-14,2024-03-11,51212.33,43165.28,3,0.92,At Risk,0
82,Project 82,2022-09-16,2023-01-27,353474.87,346039.51,7,0.72,Cancelled,0
83,Project 83,2021-11-27,2022-10-21,45653.87,46249.51,7,0.61,Cancelled,0
84,Project 84,2021-03-05,2021-12-05,412711.43,370197.28,12,0.95,At Risk,0
85,Project 85,2021-11-07,2022-05-31,356058.69,323193.51,6,0.4,On Track,1
86,Project 86,2021-11-22,2022-01-29,49860.9,47413.41,8,0.95,Cancelled,0
87,Project 87,2022-12-31,2023-07-18,51570.48,41670.42,9,0.14,Completed,1
88,Project 88,2022-09-30,2023-07-03,493453.39,458335.13,11,0.48,Completed,1
89,Project 89,2023-06-07,2023-08-01,193392.69,171071.15,3,0.27,Completed,1
90,Project 90,2022-04-18,2023-03-19,191614.65,178393.04,8,0.54,Delayed,0
91,Project 91,2021-04-30,2021-06-11,408271.79,346175.63,9,0.16,Completed,1
92,Project 92,2022-12-15,2023-11-25,474151.8,548219.49,5,0.84,Cancelled,0
93,Project 93,2023-01-31,2024-01-08,493140.52,511602.21,10,0.85,At Risk,0
94,Project 94,2022-07-16,2022-09-19,379155.31,406318.35,7,0.96,At Risk,0
95,Project 95,2023-02-10,2023-08-31,194367.2,216849.36,11,0.15,Cancelled,0
96,Project 96,2022-05-09,2022-06-27,50915.35,50883.62,7,0.62,At Risk,0
97,Project 97,2022-06-07,2023-05-23,390801.99,326229.04,11,0.47,Cancelled,0
98,Project 98,2022-03-04,2022-12-22,283618.08,287827.71,12,0.34,Delayed,0
99,Project 99,2021-01-26,2021-07-16,217868.78,225436.77,6,0.35,Cancelled,0
100,Project 100,2021-04-18,2021-10-07,454113.65,498696.62,11,0.41,Cancelled,0
101,Project 101,2021-02-01,2021-06-02,64486.77,62723.95,7,0.7,At Risk,0
102,Project 102,2022-09-29,2023-09-15,251386.3,213937.82,12,0.6,Delayed,0
103,Project 103,2021-11-11,2022-09-24,15563.29,14217.23,11,0.46,At Risk,0
104,Project 104,2022-05-24,2023-01-23,239643.71,226519.12,5,0.08,On Track,1
105,Project 105,2023-06-27,2023-09-15,37588.61,39782.54,6,0.08,At Risk,0
106,Project 106,2021-09-07,2022-03-08,68220.78,70152.2,11,0.0,Delayed,0
107,Project 107,2022-02-15,2022-09-18,67587.86,63697.41,12,0.97,Delayed,0
108,Project 108,2023-01-26,2023-04-28,328113.05,391965.85,13,0.01,Delayed,0
109,Project 109,2021-08-17,2022-03-24,375561.99,391451.99,8,0.1,At Risk,0
110,Project 110,2021-03-18,2021-08-19,295850.69,264754.04,4,0.31,Completed,1
111,Project 111,2021-10-17,2022-04-14,481464.55,404773.5,9,0.81,At Risk,0
112,Project 112,2021-06-11,2022-05-20,193686.58,166791.97,4,0.96,Delayed,0
113,Project 113,2023-07-19,2023-10-14,149998.92,134756.49,13,0.79,Cancelled,0
114,Project 114,2023-03-20,2024-02-17,435613.57,376488.85,4,0.69,Cancelled,0
115,Project 115,2022-09-26,2023-04-23,119561.96,104572.1,13,0.52,At Risk,0
116,Project 116,2023-05-22,2023-12-07,481979.04,440547.19,3,0.09,On Track,1
117,Project 117,2023-03-15,2024-03-04,15955.69,13871.07,13,0.96,Cancelled,0
118,Project 118,2021-07-06,2022-05-02,485240.63,562251.31,13,0.76,Delayed,0
119,Project 119,2023-06-12,2023-09-03,31148.36,25918.35,14,0.64,Delayed,0
120,Project 120,2022-06-24,2022-11-01,446660.13,451039.43,13,0.76,Delayed,0
121,Project 121,2023-03-19,2024-01-06,268573.54,258947.52,5,0.72,Cancelled,0
122,Project 122,2023-06-16,2023-09-06,496552.75,592363.32,8,0.64,At Risk,0
123,Project 123,2021-11-15,2022-02-12,46160.32,38996.96,10,0.98,Delayed,0
124,Project 124,2021-04-21,2021-09-05,281388.6,269891.69,11,0.9,At Risk,0
125,Project 125,2021-08-16,2021-09-19,484958.24,576027.66,9,0.65,At Risk,0
126,Project 126,2022-03-04,2022-07-14,266317.94,305254.38,6,0.69,Cancelled,0
127,Project 127,2023-03-30,2023-11-10,318405.33,358788.3,8,0.05,Delayed,0
128,Project 128,2023-05-11,2024-02-26,350916.86,316934.47,7,0.67,At Risk,0
129,Project 129,2021-01-07,2021-03-24,232725.12,202088.03,10,0.04,Completed,1
130,Project 130,2022-05-26,2023-05-01,317503.46,338921.38,3,0.59,At Risk,0
131,Project 131,2022-02-22,2023-01-25,296314.01,347206.06,3,1.0,Cancelled,0
132,Project 132,2021-08-11,2022-01-31,451567.43,461820.34,13,0.56,At Risk,0
133,Project 133,2021-04-30,2022-02-22,32268.73,33193.07,8,0.47,At Risk,0
134,Project 134,2021-12-04,2022-05-06,147671.96,134675.59,12,0.31,Completed,1
135,Project 135,2023-08-01,2023-12-14,475701.63,526980.92,14,0.12,Delayed,0
136,Project 136,2021-11-20,2022-05-26,446229.25,390369.16,4,0.73,Cancelled,0
137,Project 137,2022-06-03,2022-11-26,233271.81,216819.54,7,0.19,On Track,1
138,Project 138,2022-12-05,2023-05-28,313864.97,304503.81,3,0.12,On Track,1
139,Project 139,2021-12-30,2022-05-28,145916.78,146360.97,9,0.42,At Risk,0
140,Project 140,2023-08-30,2024-08-12,102179.37,91651.21,3,0.8,Cancelled,0
141,Project 141,2023-08-21,2024-06-20,237212.22,200666.06,6,0.75,Delayed,0
142,Project 142,2021-09-09,2022-01-08,183142.59,191246.29,11,0.05,At Risk,0
143,Project 143,2022-05-13,2022-08-08,295991.49,270966.07,3,0.46,Completed,1
144,Project 144,2021-10-28,2022-07-13,48089.97,49652.67,6,0.52,Delayed,0
145,Project 145,2021-10-12,2022-03-07,487453.46,420060.62,8,0.64,Cancelled,0
146,Project 146,2021-02-06,2022-01-19,493243.26,489522.25,8,0.65,Cancelled,0
147,Project 147,2022-09-02,2023-07-07,352099.24,356689.13,14,0.36,Cancelled,0
148,Project 148,2022-05-18,2022-10-21,272687.22,223802.42,10,0.56,Cancelled,0
149,Project 149,2021-02-21,2021-07-29,161668.53,151102.15,3,0.48,On Track,1
150,Project 150,2021-10-06,2022-01-01,408759.56,348984.96,9,0.88,At Risk,0
151,Project 151,2023-06-28,2023-11-26,345518.27,285173.5,3,0.53,At Risk,0
152,Project 152,2021-08-28,2021-09-27,89682.3,107258.6,9,0.44,Delayed,0
153,Project 153,2021-05-25,2022-02-17,456354.32,423926.48,5,0.4,Completed,1
154,Project 154,2022-05-05,2023-03-20,413043.25,464239.87,13,0.57,At Risk,0
155,Project 155,2023-09-13,2024-01-16,475401.96,428744.23,10,0.8,At Risk,0
156,Project 156,2021-08-31,2022-02-02,365602.56,392145.7,5,0.54,Cancelled,0
157,Project 157,2022-11-04,2023-03-31,310573.45,342901.4,3,0.66,At Risk,0
158,Project 158,2023-02-01,2023-04-19,214939.09,223161.69,10,0.74,Delayed,0
159,Project 159,2021-08-26,2021-12-22,467036.96,461726.97,5,0.52,Delayed,0
160,Project 160,2022-12-30,2023-09-22,434371.31,419053.8,4,0.43,Completed,1
161,Project 161,2022-01-03,2022-10-31,32157.15,30213.16,3,0.88,Cancelled,0
162,Project 162,2022-09-25,2023-05-01,22919.82,26857.71,5,0.42,Delayed,0
163,Project 163,2022-09-26,2023-05-05,194467.05,220184.88,4,0.46,Cancelled,0
164,Project 164,2022-06-20,2022-09-26,407171.13,482909.34,4,0.99,Delayed,0
165,Project 165,2021-04-01,2022-02-02,493765.3,419561.7,8,0.0,Delayed,0
166,Project 166,2023-04-16,2024-01-17,83704.28,91434.12,14,0.19,Delayed,0
167,Project 167,2021-11-17,2022-03-02,301124.05,353921.99,3,0.38,Cancelled,0
168,Project 168,2021-07-06,2022-01-05,196636.52,171564.03,4,0.93,Delayed,0
169,Project 169,2021-02-10,2021-08-02,485258.05,401113.58,8,0.07,Completed,1
170,Project 170,2022-08-14,2022-12-07,422638.27,463401.0,5,0.01,Cancelled,0
171,Project 171,2022-11-09,2023-06-11,420781.07,433315.82,6,0.05,At Risk,0
172,Project 172,2021-01-17,2021-11-27,239659.65,272428.68,3,0.09,Cancelled,0
173,Project 173,2022-05-28,2023-02-01,213261.56,182532.48,10,0.04,On Track,1
174,Project 174,2021-08-15,2021-11-21,143969.47,160973.26,9,0.48,Cancelled,0
175,Project 175,2022-10-08,2022-12-23,37623.99,33133.6,9,0.58,Cancelled,0
176,Project 176,2021-06-24,2021-10-25,433713.96,375363.11,5,0.27,Completed,1
177,Project 177,2022-11-22,2023-08-16,408321.49,353486.49,12,0.4,On Track,1
178,Project 178,2022-01-22,2022-09-12,499861.66,562759.2,12,0.09,Delayed,0
179,Project 179,2023-07-26,2024-03-29,498352.05,531282.6,5,0.34,Cancelled,0
180,Project 180,2021-05-18,2021-07-25,282161.54,284764.81,4,0.52,At Risk,0
181,Project 181,2021-12-08,2022-04-16,386803.83,364961.87,14,0.73,Delayed,0
182,Project 182,2021-04-24,2022-03-08,472935.21,544291.78,3,0.0,Cancelled,0
183,Project 183,2023-07-14,2024-04-22,426327.22,407985.79,9,0.47,Completed,1
184,Project 184,2023-05-28,2024-02-03,131200.57,147815.78,9,0.3,At Risk,0
185,Project 185,2021-09-15,2021-11-06,230766.63,225148.38,14,0.85,Delayed,0
186,Project 186,2022-10-22,2023-07-28,73288.11,69680.71,4,0.72,Delayed,0
187,Project 187,2023-03-29,2023-05-07,477485.0,470357.06,9,0.59,At Risk,0
188,Project 188,2022-07-10,2023-04-11,307025.57,282632.74,10,0.28,On Track,1
189,Project 189,2022-06-14,2023-06-03,122034.97,134121.77,3,0.91,Delayed,0
190,Project 190,2021-08-30,2022-01-06,339133.34,339502.37,11,0.05,Cancelled,0
191,Project 191,2021-04-04,2022-02-17,312882.84,279368.42,9,0.11,At Risk,0
192,Project 192,2023-06-17,2024-01-12,185499.73,215148.12,5,0.39,At Risk,0
193,Project 193,2023-06-20,2024-02-27,65643.22,62594.52,10,0.12,Completed,1
194,Project 194,2022-09-26,2023-07-02,339070.87,344977.87,9,0.96,Cancelled,0
195,Project 195,2021-12-06,2022-05-31,264950.77,308028.81,13,0.8,At Risk,0
196,Project 196,2021-12-16,2022-04-20,388436.01,407739.41,10,0.26,Cancelled,0
197,Project 197,2022-12-27,2023-10-09,264880.12,224289.68,8,0.59,At Risk,0
198,Project 198,2023-06-17,2024-06-05,427568.94,502792.36,11,0.98,Cancelled,0
199,Project 199,2023-06-07,2023-07-10,280434.35,294759.84,7,0.88,Delayed,0
200,Project 200,2023-02-19,2023-04-05,284859.61,266048.12,5,0.6,Cancelled,0
